Rank,Trainer,Wins,2nds,3rds,Stakes,Starts,G&L,SR
94,Lance_Robinson,3,12,6,"$204,040",105,0,35.0
95,Ashley_Meadows,3,10,5,"$203,125",67,1,22.33
96,Darryn_&_Briar_Weatherley,3,7,8,"$404,185",56,1,18.67
97,Jenna_Mahoney,3,7,6,"$111,630",71,0,23.67
98,Guy_Lowry,3,5,9,"$176,360",52,0,17.33
99,Russell_McKay_&_Ashley_Harrington,3,5,4,"$121,125",42,0,14.0
100,Kylie_Hoskin,3,5,3,"$153,825",43,0,14.33
101,John_Bell,3,4,4,"$87,975",53,0,17.67
102,Moira_&_Kieran_Murdoch,3,4,4,"$84,190",46,0,15.33
103,Michael_House,3,4,2,"$75,140",43,0,14.33
104,Dan_O'Leary,3,4,2,"$129,475",17,0,5.67
105,Shane_Brown,3,4,1,"$125,360",36,0,12.0
106,Patrick_Campbell,3,4,1,"$88,690",29,0,9.67
107,Lyn_Prendergast,3,3,6,"$101,705",50,0,16.67
108,Lionel_Dobbs,3,3,6,"$103,235",30,0,10.0
109,Guy_Lowry_&_Leah_Zydenbos,3,3,5,"$91,030",25,0,8.33
110,Danny_Crozier,3,3,4,"$88,270",46,0,15.33
111,Bryce_Newman,3,3,3,"$114,435",36,0,12.0
112,Adrian_Bull,3,3,2,"$93,140",25,0,8.33
113,Nikki_White,3,3,1,"$72,235",23,0,7.67
114,Shaun_Phelan,3,3,0,"$119,860",41,0,13.67
115,Anna_Clement,3,2,7,"$103,810",46,0,15.33
116,Steven_Woodsford,3,2,4,"$68,265",51,0,17.0
117,Lou_Te_Keeti,3,2,3,"$102,035",34,0,11.33
118,Samantha_Wynne,3,2,3,"$87,250",32,0,10.67
119,Matt_Dixon,3,2,2,"$75,120",21,0,7.0
120,Nikki_&_Barrie_Blatch,3,1,5,"$102,245",36,0,12.0
121,Leda_Beck,3,1,3,"$72,830",33,0,11.0
122,Jo-Ann_Gordon,3,1,3,"$63,670",32,0,10.67
123,Robyn_&_Russell_Rogers,3,1,3,"$120,310",28,1,9.33
124,Ashley_Frye,3,1,2,"$63,020",28,0,9.33
125,Janenne_Dalley,3,1,2,"$153,425",19,0,6.33
126,Mark_Jones,3,1,0,"$46,105",26,0,8.67
127,Kylie_Fawcett,3,1,0,"$66,280",18,0,6.0
128,Pam_Robson,3,0,2,"$53,260",25,0,8.33
129,Barry_Howden,3,0,2,"$60,515",11,0,3.67
130,Wayne_Hillis,2,8,6,"$106,205",65,0,32.5
131,Jo_Rathbone,2,6,3,"$75,285",29,0,14.5
132,Daniel_Champion_&_Kezia_Murphy,2,5,6,"$72,275",53,0,26.5
133,Jackie_Burrows,2,5,3,"$67,075",67,0,33.5
134,Josh_Shaw,2,5,3,"$275,025",36,0,18.0
135,Sabin_Kirkland,2,4,1,"$50,690",16,0,8.0
136,Mark_Irwin,2,4,1,"$81,215",13,0,6.5
137,Vicki_Prendergast,2,4,0,"$130,560",13,1,6.5
138,Erin_Hocquard,2,3,3,"$79,375",21,0,10.5
139,Frank_Ritchie,2,3,2,"$97,170",25,0,12.5
140,Shaun_Fannin_&_Hazel_Schofer,2,3,2,"$65,465",25,0,12.5
141,Steven_Prince,2,3,1,"$58,390",35,0,17.5
142,Dean_Wiles,2,3,1,"$46,595",32,0,16.0
143,Jeff_Lynds,2,3,1,"$41,555",17,0,8.5
144,Shane_Crawford,2,3,1,"$52,910",11,0,5.5
145,Denise_Venn,2,3,0,"$37,675",15,0,7.5
146,Robyn_Ayton,2,2,5,"$44,670",27,0,13.5
147,Ellis_Winsloe,2,2,5,"$89,745",21,0,10.5
148,John_Phillips,2,2,5,"$48,120",17,0,8.5
149,Kurtis_Pertab,2,2,3,"$49,780",26,0,13.0
150,Jamie_Bullard,2,2,3,"$63,820",17,0,8.5
151,Darrell_Hollinshead,2,2,2,"$73,045",25,0,12.5
152,Jon_Miller,2,2,2,"$94,940",22,0,11.0
153,Trish_Mason,2,2,1,"$42,140",24,0,12.0
154,Tina_Egan,2,2,1,"$50,875",15,0,7.5
155,James_Bridge,2,2,1,"$34,255",14,0,7.0
156,Holly_Teesdale,2,2,1,"$51,155",12,0,6.0
157,Virginia_Mackle,2,2,1,"$45,625",11,0,5.5
158,Graham_Eade,2,2,0,"$59,175",32,0,16.0
159,Sarah_&_Matthew_Smith,2,2,0,"$42,490",30,0,15.0
160,Amy_Doran,2,1,3,"$66,930",26,0,13.0
161,Bruce_Harvey,2,1,3,"$47,765",21,0,10.5
162,Antony_Fuller,2,1,3,"$134,925",15,0,7.5
163,Mark_Treweek,2,1,3,"$54,390",12,0,6.0
164,Kylie_Little,2,1,2,"$72,530",18,0,9.0
165,Jim_Pender,2,1,1,"$46,010",30,0,15.0
166,Paul_Moseley,2,1,1,"$35,185",18,0,9.0
167,Sharon_Robertson,2,1,1,"$91,305",18,1,9.0
168,Kezia_Murphy,2,1,1,"$30,440",16,0,8.0
169,David_Greene,2,1,0,"$48,945",21,0,10.5
170,Diane_Andersen,2,1,0,"$42,050",9,0,4.5
171,Lydia_Pickford,2,0,8,"$58,370",40,0,20.0
172,Caley_Myers,2,0,2,"$33,580",18,0,9.0
173,Jade_Zuppicich,2,0,2,"$63,630",13,0,6.5
174,Sue_Walsh,2,0,2,"$40,570",10,0,5.0
175,Trevor_Da_Cruz,2,0,2,"$32,315",9,0,4.5
176,Phillip_Stevens,2,0,1,"$25,790",14,0,7.0
177,Chloe_Cumming,2,0,1,"$27,695",10,0,5.0
178,Shaun_Fannin,2,0,1,"$51,350",10,0,5.0
179,Chris_Turner,2,0,1,"$36,625",5,0,2.5
180,Mark_Evans,2,0,1,"$28,065",5,0,2.5
181,Jim_Collett,2,0,0,"$27,325",16,0,8.0
182,Mathew_Faber,2,0,0,"$28,020",10,0,5.0
183,Annabelle_Johnson,2,0,0,"$33,275",9,0,4.5
184,Sandy_Cunningham,2,0,0,"$73,200",8,0,4.0
